Nazwa systemu;Description (PL);Abbreviation;Kolor (RGB)
V_Supply air (Nawiew);Wentylacja – Nawiew;N;(0, 128, 255)
V_Outdoor air (Czerpny);Wentylacja – Czerpny;Cz;(64, 192, 0)
V_Extract air (Wywiew);Wentylacja – Wywiew;W;(255, 255, 0)
V_Exhaust air (Wyrzut);Wentylacja – Wyrzut;Wy;(192, 128, 0)
CHW_Supply;Chłodzenie – Zasilanie;CHW_S;(0, 92, 255)
CHW_Return;Chłodzenie – Powrót;CHW_R;(0, 255, 255)
HP_Supply;Grzanie/Chłodzenie – Zasilanie;HP_S;(128, 64, 128)
HP_Return;Grzanie/Chłodzenie – Powrót;HP_R;(255, 64, 128)
HW_Supply;Grzanie – Zasilanie;HW_S;(255, 0, 0)
HW_Return;Grzanie – Powrót;HW_R;(0, 0, 128)
HWX_Supply;Wymiennik – Zasilanie;HWX_S;(192, 0, 0)
HWX_Return;Wymiennik – Powrót;HWX_R;(0, 64, 192)
WU_Circulation;Woda użytkowa – Cyrkulacja;WU;(128, 0, 255)
WU_Cold Water;Woda użytkowa – Zimna woda;WU;(0, 255, 0)
WU_Hot Water;Woda użytkowa – Ciepła woda;WU;(255, 64, 0)
FP_Fire Protection;Instalacja PPOŻ;FP;(255, 164, 8)
PH_Supply;Podłogówka – Zasilanie;PH_S;(240, 0, 150)
PH_Return;Podłogówka – Powrót;PH_R;(180, 0, 192)
SW_Sewage Water;Kanalizacja;SW;(128, 92, 64)
SWC_Sewage Water Condensat;Kanalizacja – Skropliny;SWC;(128, 128, 92)
SWV_Sewage Water Ventilation;Kanalizacja – Odpowietrzenie;SWV;(164, 128, 64)
RWP_Rainwater Pressure;Kanalizacja deszczowa – Ciśnieniowa;RWP;(0, 128, 164)
RWG_Rainwater Gravity;Kanalizacja deszczowa – Grawitacyjna;RWG;(128, 164, 255)
RWE_Rainwater Emergency;Kanalizacja deszczowa – Awaryjna;RWE;(192, 128, 192)
VRV_Supply;VRV – Zasilanie;VRV_S;(0, 192, 192)
VRV_Return;VRV – Powrót;VRV_R;(0, 92, 192)
REF_Supply;Chłodnictwo – Zasilanie;REF_S;(24, 128, 200)
REF_Return;Chłodnictwo – Powrót;REF_R;(24, 192, 222)
SPL_Supply;Split – Zasilanie;SPL_S;(255, 164, 164)
SPL_Return;Split – Powrót;SPL_R;(255, 128, 164)
PA_Pressure Air;Spręzone powietrze;PA;(255, 102, 204)
